candidate_id,rank,score,reasoning
CAND_0000031,72,0.431906,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0066999,73,0.426799,Strong evidence strength and retrieval relevance. Relative gap in career trajectory.
CAND_0086022,74,0.424759,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0058688,75,0.416637,Strong behavior reliability and evidence strength. Relative gap in retrieval relevance.
CAND_0096142,76,0.416157,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0002025,77,0.414761,Strong behavior reliability and retrieval relevance. Relative gap in career trajectory.
CAND_0011162,78,0.410818,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0044883,79,0.409456,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0054123,80,0.39632,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0003977,81,0.394648,Strong evidence strength and career trajectory. Relative gap in experience alignment.
CAND_0010770,82,0.393196,Strong experience alignment and career trajectory. Relative gap in evidence strength.
CAND_0062247,83,0.392919,Strong behavior reliability and experience alignment. Relative gap in evidence strength.
CAND_0030468,84,0.382658,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0075249,85,0.364308,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0019480,86,0.363371,Strong behavior reliability and evidence strength. Relative gap in experience alignment.
CAND_0015528,87,0.357324,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0061339,88,0.354116,Strong behavior reliability and evidence strength. Relative gap in experience alignment.
CAND_0070202,89,0.349075,Strong evidence strength and career trajectory. Relative gap in behavior reliability.
CAND_0066376,90,0.345917,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0076831,91,0.345778,Strong evidence strength and career trajectory. Relative gap in experience alignment.
CAND_0054394,92,0.343574,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0065195,93,0.342862,Strong evidence strength and behavior reliability. Relative gap in career trajectory.
CAND_0058575,94,0.312542,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0009024,95,0.301064,Strong evidence strength and career trajectory. Relative gap in retrieval relevance.
CAND_0078492,96,0.28488,Strong evidence strength and behavior reliability. Relative gap in career trajectory.
CAND_0077285,97,0.27116,Strong career trajectory and experience alignment. Relative gap in retrieval relevance.
CAND_0037000,98,0.222149,Strong evidence strength and career trajectory. Relative gap in experience alignment.
CAND_0030348,99,0.213968,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0008239,100,0.203773,Strong behavior reliability and career trajectory. Relative gap in retrieval relevance.
